seed	co-occurence	time span	freq	total token timespan
fragrant_adj	have_verb	1801-1850	624	35264780348
fragrant_adj	odour_noun	1801-1850	1833	35264780348
odour_noun	have_verb	1801-1850	5093	35264780348
odour_noun	fragrant_adj	1801-1850	1833	35264780348
fragrant_adj	have_verb	1851-1900	1039	69923298908
fragrant_adj	odour_noun	1851-1900	3592	69923298908
odour_noun	have_verb	1851-1900	25905	69923298908
odour_noun	fragrant_adj	1851-1900	3592	69923298908
fragrant_adj	have_verb	1901-1925	658	42183479352
fragrant_adj	odour_noun	1901-1925	819	42183479352
odour_noun	have_verb	1901-1925	4802	42183479352
odour_noun	fragrant_adj	1901-1925	819	42183479352
sniff_verb	have_verb	1851-1900	297	69923298908
sniff_verb	nose_noun	1851-1900	182	69923298908
sniff_verb	have_verb	1901-1925	174	42183479352
sniff_verb	nose_noun	1901-1925	92	42183479352
aromatic_adj	have_verb	1801-1850	1579	35264780348
aromatic_adj	odour_noun	1801-1850	2430	35264780348
odour_noun	aromatic_adj	1801-1850	2430	35264780348
aromatic_adj	have_verb	1851-1900	4246	69923298908
aromatic_adj	odour_noun	1851-1900	9135	69923298908
odour_noun	aromatic_adj	1851-1900	9135	69923298908
aromatic_adj	have_verb	1901-1925	585	42183479352
aromatic_adj	odour_noun	1901-1925	1670	42183479352
odour_noun	aromatic_adj	1901-1925	1670	42183479352
smell_noun	have_verb	1751-1800	1696	2951857475
smell_noun	strong_adj	1751-1800	1918	2951857475
smell_noun	disagreeable_adj	1751-1800	871	2951857475
smell_noun	have_verb	1801-1850	12108	35264780348
smell_noun	strong_adj	1801-1850	11641	35264780348
smell_noun	disagreeable_adj	1801-1850	4980	35264780348
smell_noun	have_verb	1851-1900	12536	69923298908
smell_noun	strong_adj	1851-1900	13438	69923298908
smell_noun	disagreeable_adj	1851-1900	4849	69923298908
smell_noun	have_verb	1901-1925	4140	42183479352
smell_noun	strong_adj	1901-1925	4249	42183479352
smell_noun	disagreeable_adj	1901-1925	1336	42183479352
smell_noun	sweet_adj	1751-1800	640	2951857475
smell_noun	sweet_adj	1801-1850	5189	35264780348
smell_noun	sweet_adj	1851-1900	8841	69923298908
smell_noun	sweet_adj	1901-1925	2927	42183479352
odour_noun	faint_adj	1801-1850	424	35264780348
odour_noun	faint_adj	1851-1900	5313	69923298908
odour_noun	faint_adj	1901-1925	1075	42183479352
smell_noun	fine_adj	1751-1800	80	2951857475
smell_noun	fine_adj	1801-1850	568	35264780348
smell_noun	fine_adj	1851-1900	309	69923298908
smell_noun	fine_adj	1901-1925	70	42183479352
smell_noun	scarcely_adv	1751-1800	53	2951857475
smell_noun	scarcely_adv	1801-1850	423	35264780348
smell_noun	scarcely_adv	1851-1900	111	69923298908
smell_noun	scarcely_adv	1901-1925	15	42183479352
smell_noun	very_adv	1751-1800	1108	2951857475
smell_noun	little_adj	1751-1800	228	2951857475
smell_noun	very_adv	1801-1850	5197	35264780348
smell_noun	little_adj	1801-1850	1277	35264780348
smell_noun	very_adv	1851-1900	4963	69923298908
smell_noun	little_adj	1851-1900	710	69923298908
smell_noun	very_adv	1901-1925	1898	42183479352
smell_noun	little_adj	1901-1925	180	42183479352
scent_noun	have_verb	1801-1850	1320	35264780348
scent_noun	get_verb	1801-1850	692	35264780348
scent_noun	have_verb	1851-1900	2577	69923298908
scent_noun	get_verb	1851-1900	1183	69923298908
scent_noun	have_verb	1901-1925	1288	42183479352
scent_noun	get_verb	1901-1925	474	42183479352
scent_noun	have_verb	1701-1750	24	857634418
scent_noun	have_verb	1751-1800	175	2951857475
smell_noun	hand_noun	1851-1900	76	69923298908
fetid_adj	have_verb	1751-1800	25	2951857475
fetid_adj	smell_noun	1751-1800	175	2951857475
smell_noun	fetid_adj	1751-1800	175	2951857475
fetid_adj	have_verb	1801-1850	234	35264780348
fetid_adj	smell_noun	1801-1850	1047	35264780348
smell_noun	fetid_adj	1801-1850	1047	35264780348
fetid_adj	have_verb	1851-1900	242	69923298908
fetid_adj	smell_noun	1851-1900	807	69923298908
smell_noun	fetid_adj	1851-1900	807	69923298908
fetid_adj	have_verb	1901-1925	78	42183479352
fetid_adj	smell_noun	1901-1925	151	42183479352
smell_noun	fetid_adj	1901-1925	151	42183479352
atmosphere_noun	have_verb	1751-1800	190	2951857475
atmosphere_noun	have_verb	1801-1850	3286	35264780348
atmosphere_noun	have_verb	1851-1900	5660	69923298908
atmosphere_noun	have_verb	1901-1925	2735	42183479352
stink_verb	bad_adj	1751-1800	18	2951857475
stink_verb	hair_noun	1801-1850	70	35264780348
stink_verb	bad_adj	1801-1850	379	35264780348
stink_verb	hair_noun	1851-1900	41	69923298908
stink_verb	bad_adj	1851-1900	355	69923298908
stink_verb	bad_adj	1901-1925	44	42183479352
smell_noun	same_adj	1751-1800	28	2951857475
smell_noun	same_adj	1801-1850	270	35264780348
smell_noun	same_adj	1851-1900	324	69923298908
smell_noun	same_adj	1901-1925	94	42183479352
vile_adj	have_verb	1701-1750	96	857634418
vile_adj	know_verb	1701-1750	27	857634418
vile_adj	abuser_noun	1701-1750	3	857634418
vile_adj	have_verb	1751-1800	698	2951857475
vile_adj	know_verb	1751-1800	155	2951857475
vile_adj	abuser_noun	1751-1800	3	2951857475
vile_adj	have_verb	1801-1850	2465	35264780348
vile_adj	know_verb	1801-1850	422	35264780348
vile_adj	abuser_noun	1801-1850	30	35264780348
vile_adj	have_verb	1851-1900	3459	69923298908
vile_adj	know_verb	1851-1900	547	69923298908
vile_adj	abuser_noun	1851-1900	69	69923298908
vile_adj	have_verb	1901-1925	918	42183479352
vile_adj	know_verb	1901-1925	167	42183479352
vile_adj	abuser_noun	1901-1925	42	42183479352
essence_noun	have_verb	1751-1800	695	2951857475
essence_noun	real_adj	1751-1800	3429	2951857475
essence_noun	internal_adj	1751-1800	88	2951857475
essence_noun	have_verb	1801-1850	4515	35264780348
essence_noun	real_adj	1801-1850	21484	35264780348
essence_noun	internal_adj	1801-1850	570	35264780348
essence_noun	have_verb	1851-1900	3951	69923298908
essence_noun	real_adj	1851-1900	10491	69923298908
essence_noun	internal_adj	1851-1900	276	69923298908
essence_noun	have_verb	1901-1925	1471	42183479352
essence_noun	real_adj	1901-1925	2443	42183479352
essence_noun	internal_adj	1901-1925	60	42183479352
odour_noun	strong_adj	1801-1850	4397	35264780348
odour_noun	agreeable_adj	1801-1850	2779	35264780348
odour_noun	strong_adj	1851-1900	11004	69923298908
odour_noun	agreeable_adj	1851-1900	8334	69923298908
odour_noun	strong_adj	1901-1925	2288	42183479352
odour_noun	agreeable_adj	1901-1925	874	42183479352
nauseous_adj	have_verb	1751-1800	47	2951857475
nauseous_adj	smell_noun	1751-1800	70	2951857475
smell_noun	nauseous_adj	1751-1800	70	2951857475
nauseous_adj	have_verb	1801-1850	312	35264780348
nauseous_adj	smell_noun	1801-1850	407	35264780348
smell_noun	nauseous_adj	1801-1850	407	35264780348
