seed	co-occurence	time span	freq	total token timespan
percevoir_verb	0_noun	1851-1900	70	23878286857
percevoir_verb	0_noun	1901-1925	80	10565439532
gaz_noun	mètre_noun	1851-1900	12020	23878286857
gaz_noun	cubes_adj	1851-1900	11163	23878286857
gaz_noun	mètre_noun	1901-1925	7334	10565439532
gaz_noun	cubes_adj	1901-1925	4406	10565439532
gaz_noun	0_noun	1851-1900	320	23878286857
gaz_noun	0_noun	1901-1925	374	10565439532
gaz_noun	000_noun	1901-1925	41	10565439532
gaz_noun	m3_noun	1901-1925	537	10565439532
gaz_noun	m_noun	1851-1900	1862	23878286857
gaz_noun	m_noun	1901-1925	760	10565439532
gaz_noun	m3_noun	1851-1900	229	23878286857
gaz_noun	pied_noun	1801-1850	1024	12938901888
gaz_noun	cubes_adj	1801-1850	7008	12938901888
gaz_noun	pied_noun	1851-1900	853	23878286857
gaz_noun	pied_noun	1901-1925	228	10565439532
percevoir_verb	ne_adv	1751-1800	1352	1670629915
percevoir_verb	sera_verb	1751-1800	1659	1670629915
percevoir_verb	ne_adv	1801-1850	17939	12938901888
percevoir_verb	sera_verb	1801-1850	24320	12938901888
percevoir_verb	ne_adv	1851-1900	52164	23878286857
percevoir_verb	sera_verb	1851-1900	45558	23878286857
percevoir_verb	ne_adv	1901-1925	24630	10565439532
percevoir_verb	sera_verb	1901-1925	19439	10565439532
gaz_noun	1931_noun	1901-1925	25	10565439532
piquant_adj	est_verb	1801-1850	2047	12938901888
piquant_adj	assez_adv	1801-1850	2238	12938901888
piquant_adj	est_verb	1851-1900	4261	23878286857
piquant_adj	assez_adv	1851-1900	5704	23878286857
piquant_adj	est_verb	1901-1925	3775	10565439532
piquant_adj	assez_adv	1901-1925	4245	10565439532
gaz_noun	1923_noun	1901-1925	611	10565439532
gaz_noun	1960_noun	1851-1900	3	23878286857
gaz_noun	1945_noun	1851-1900	6	23878286857
gaz_noun	1913_noun	1901-1925	411	10565439532
gaz_noun	1917_noun	1901-1925	193	10565439532
gaz_noun	1943_noun	1851-1900	4	23878286857
gaz_noun	1932_noun	1851-1900	4	23878286857
gaz_noun	1932_noun	1901-1925	41	10565439532
gaz_noun	1888_noun	1851-1900	167	23878286857
gaz_noun	1888_noun	1901-1925	92	10565439532
gaz_noun	centimètre_noun	1801-1850	1805	12938901888
gaz_noun	centimètre_noun	1851-1900	2826	23878286857
gaz_noun	centimètre_noun	1901-1925	444	10565439532
gaz_noun	litre_noun	1801-1850	746	12938901888
gaz_noun	litre_noun	1851-1900	3813	23878286857
gaz_noun	litre_noun	1901-1925	1020	10565439532
gaz_noun	1941_noun	1851-1900	9	23878286857
sentir_verb	1_noun	1751-1800	140	1670629915
gaz_noun	100_adj	1801-1850	5	12938901888
gaz_noun	100_adj	1851-1900	522	23878286857
gaz_noun	100_adj	1901-1925	232	10565439532
gaz_noun	1910_noun	1901-1925	353	10565439532
gaz_noun	mètre_noun	1801-1850	299	12938901888
gaz_noun	cube_adj	1801-1850	182	12938901888
gaz_noun	cube_adj	1851-1900	8959	23878286857
gaz_noun	cube_adj	1901-1925	5488	10565439532
gaz_noun	1882_noun	1851-1900	109	23878286857
gaz_noun	1882_noun	1901-1925	46	10565439532
gaz_noun	1958_noun	1851-1900	4	23878286857
gaz_noun	1936_noun	1851-1900	8	23878286857
gaz_noun	1937_noun	1851-1900	8	23878286857
gaz_noun	p_noun	1851-1900	1038	23878286857
gaz_noun	p_noun	1901-1925	373	10565439532
gaz_noun	1_noun	1851-1900	2651	23878286857
gaz_noun	1_noun	1901-1925	860	10565439532
pet_noun	1898_noun	1851-1900	90	23878286857
pet_noun	1898_noun	1901-1925	39	10565439532
gaz_noun	1925_noun	1901-1925	120	10565439532
gaz_noun	1900_noun	1851-1900	26	23878286857
gaz_noun	1900_noun	1901-1925	449	10565439532
gaz_noun	1906_noun	1901-1925	195	10565439532
gaz_noun	1891_noun	1851-1900	105	23878286857
gaz_noun	1891_noun	1901-1925	115	10565439532
sentir_verb	ne_adv	1801-1850	279256	12938901888
sentir_verb	pas_adv	1801-1850	192485	12938901888
sentir_verb	ne_adv	1851-1900	434310	23878286857
sentir_verb	pas_adv	1851-1900	314164	23878286857
sentir_verb	ne_adv	1901-1925	167085	10565439532
sentir_verb	pas_adv	1901-1925	120509	10565439532
gaz_noun	1894_noun	1851-1900	84	23878286857
gaz_noun	1894_noun	1901-1925	145	10565439532
sentir_verb	1789_noun	1801-1850	21	12938901888
bouquet_noun	1_noun	1751-1800	7	1670629915
bouquet_noun	1_noun	1801-1850	371	12938901888
bouquet_noun	1_noun	1851-1900	494	23878286857
percevoir_verb	vendémiaire_noun	1751-1800	3	1670629915
percevoir_verb	16_adj	1801-1850	40	12938901888
percevoir_verb	vendémiaire_noun	1801-1850	62	12938901888
percevoir_verb	vendémiaire_noun	1851-1900	64	23878286857
percevoir_verb	vendémiaire_noun	1901-1925	30	10565439532
gaz_noun	1890_noun	1851-1900	93	23878286857
gaz_noun	1890_noun	1901-1925	76	10565439532
gaz_noun	1933_noun	1851-1900	8	23878286857
gaz_noun	1933_noun	1901-1925	29	10565439532
gaz_noun	1934_noun	1851-1900	5	23878286857
gaz_noun	1934_noun	1901-1925	56	10565439532
gaz_noun	1886_noun	1851-1900	216	23878286857
gaz_noun	1886_noun	1901-1925	89	10565439532
gaz_noun	1914_noun	1901-1925	242	10565439532
gaz_noun	1918_noun	1901-1925	284	10565439532
gaz_noun	1916_noun	1901-1925	256	10565439532
gaz_noun	1935_noun	1851-1900	4	23878286857
gaz_noun	1935_noun	1901-1925	41	10565439532
gaz_noun	1939_noun	1851-1900	8	23878286857
gaz_noun	1895_noun	1851-1900	55	23878286857
gaz_noun	1895_noun	1901-1925	94	10565439532
gaz_noun	1903_noun	1901-1925	419	10565439532
gaz_noun	1905_noun	1901-1925	187	10565439532
gaz_noun	1_noun	1801-1850	711	12938901888
gaz_noun	1924_noun	1901-1925	346	10565439532
gaz_noun	1909_noun	1901-1925	194	10565439532
pet_noun	1900_noun	1851-1900	35	23878286857
pet_noun	1900_noun	1901-1925	24	10565439532
gaz_noun	1899_noun	1901-1925	148	10565439532
gaz_noun	1912_noun	1901-1925	372	10565439532
gaz_noun	party_noun	1751-1800	191	1670629915
gaz_noun	party_noun	1801-1850	2588	12938901888
gaz_noun	party_noun	1851-1900	366	23878286857
gaz_noun	party_noun	1901-1925	47	10565439532
gaz_noun	1893_noun	1851-1900	111	23878286857
gaz_noun	1893_noun	1901-1925	156	10565439532
gaz_noun	1902_noun	1901-1925	415	10565439532
gaz_noun	1959_noun	1851-1900	6	23878286857
gaz_noun	1920_noun	1901-1925	388	10565439532
gaz_noun	pouce_noun	1751-1800	276	1670629915
gaz_noun	cubes_adj	1751-1800	419	1670629915
gaz_noun	pouce_noun	1801-1850	2015	12938901888
gaz_noun	pouce_noun	1851-1900	71	23878286857
