word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
aroma	seed	['eng-30-05714466-n', 'odwn-10-105351612-n']	1700	-	-	-	no	yes	yes
aromatisch	seed		1810	-	-	-	no	yes	yes
balsemachtig	seed		1851	-	-	-	no	yes	yes
bos	seed	['eng-30-02879087-n']	1600	-	-	-	yes	yes	yes
bouquet	seed	['eng-30-04980463-n', 'eng-30-02879087-n']	1600	-	-	-	yes	yes	yes
brandlucht	seed	['odwn-10-106479466-n']	1820	-	-	-	yes	yes	yes
corsage	seed	['eng-30-02879087-n']	1810	-	-	-	no	yes	yes
damp	seed	['eng-30-05714894-n']	1600	-	-	-	yes	yes	yes
essence	seed	['eng-30-03916031-n']	1700	-	-	-	yes	yes	yes
gaslucht	seed	['odwn-10-105015608-n']	1830	-	-	-	no	yes	yes
geparfumeerd	seed		1700	-	-	-	yes	yes	yes
geur	seed	['eng-30-04980463-n', 'eng-30-05714161-n', 'eng-30-05713737-n', 'eng-30-04980008-n']	1600	-	-	-	yes	yes	yes
geuren	seed	['odwn-10-103384592-v']	1600	-	-	-	yes	yes	yes
geurig	seed	['eng-30-01052248-a']	1700	-	-	-	yes	yes	yes
geurigheid	seed		1820	-	-	-	no	yes	yes
lucht	seed	['eng-30-05713737-n', 'eng-30-04980008-n']	1600	-	-	-	yes	yes	yes
luchtje	seed	['odwn-10-107425365-n']	1700	-	-	-	no	yes	yes
meuren	seed	['odwn-10-108084996-v']	1600	-	-	-	no	yes	yes
muf	seed		1600	-	-	-	no	yes	yes
neus	seed	['eng-30-05658603-n', 'odwn-10-103479683-n']	1600	-	-	-	yes	yes	yes
neuzen	seed		1700	-	-	-	yes	yes	yes
odeur	seed	['eng-30-05713737-n', 'eng-30-04980008-n']	1600	-	-	-	yes	yes	yes
onwelriekend	seed	['eng-30-01053144-a']	1830	-	-	-	no	no	yes
opsnuiven	seed	['odwn-10-105994682-v']	1840	-	-	-	no	yes	yes
parfum	seed	['eng-30-05714161-n', 'eng-30-03916031-n']	1700	-	-	-	yes	yes	yes
parfumeren	seed	['eng-30-00043480-v']	1700	-	-	-	no	yes	yes
parfumerie	seed	['eng-30-03916385-n']	1700	-	-	-	yes	yes	yes
penetrant	seed		1700	-	-	-	yes	no	no
reuk	seed	['eng-30-05714161-n', 'eng-30-05713737-n', 'eng-30-04980008-n', 'eng-30-05658603-n']	1600	-	-	-	yes	yes	yes
reukeloosheid	seed		1700	-	-	-	no	yes	no
reukje	seed		1847	-	-	-	no	yes	no
reukloos	seed	['eng-30-01057775-a']	1700	-	-	-	no	yes	yes
reukorgaan	seed	['odwn-10-103479683-n']	1830	-	-	-	no	yes	yes
reukwater	seed	['odwn-10-107852927-n']	1700	-	-	-	yes	yes	yes
reukwerk	seed		1700	-	-	-	no	yes	no
rieken	seed	['odwn-10-109146238-v']	1600	-	-	-	yes	yes	yes
rozengeur	seed	['odwn-10-105420062-n']	1830	-	-	-	no	yes	yes
ruiken	seed	['eng-30-02124748-v', 'odwn-10-105269560-v', 'odwn-10-106643808-v']	1600	-	-	-	no	yes	yes
ruiker	seed	['eng-30-02879087-n']	1700	-	-	-	yes	yes	yes
schimmelig	seed		1830	-	-	-	yes	no	no
smook	seed	['eng-30-11508303-n']	1700	-	-	-	no	yes	yes
snuf	seed		1700	-	-	-	yes	no	yes
snuffelen	seed		1700	-	-	-	no	no	yes
stank	seed	['eng-30-05714894-n', 'eng-30-05715150-n', 'eng-30-04992834-n', 'eng-30-02124106-v']	1700	-	-	-	yes	yes	yes
stankwerend	seed		1887	-	-	-	no	no	yes
stinken	seed	['eng-30-02124332-v', 'eng-30-02124106-v', 'odwn-10-108038100-v']	1600	-	-	-	no	yes	yes
stinkend	seed		1700	-	-	-	yes	yes	yes
uitwasemen	seed		1820	-	-	-	no	yes	no
vervliegen	seed		1600	-	-	-	no	yes	yes
vunze	seed		1700	-	-	-	no	yes	no
walm	seed	['eng-30-11508303-n']	1600	-	-	-	yes	yes	yes
wasem	seed	['odwn-10-106642225-n']	1700	-	-	-	no	no	yes
welriekend	seed		1700	-	-	-	yes	yes	yes
zoetheid	seed	['eng-30-04980463-n']	1700	-	-	-	no	yes	no
zwavelig	seed		1820	-	-	-	no	yes	yes
zweetlucht	seed	['eng-30-04980920-n']	1854	-	-	-	no	yes	no
0	cooc		1600	-	-	-	no	no	yes
0	cooc		1600	-	-	-	no	yes	no
2	cooc		1600	-	-	-	no	no	yes
3	cooc		1600	-	-	-	no	no	yes
4	cooc		1600	-	-	-	no	no	yes
5	cooc		1600	-	-	-	no	no	yes
10	cooc		1600	-	-	-	no	yes	no
15	cooc		1600	-	-	-	yes	yes	yes
16	cooc		1700	-	-	-	yes	no	yes
17	cooc		1700	-	-	-	yes	no	no
18	cooc		1700	-	-	-	no	no	yes
20	cooc		1600	-	-	-	no	no	yes
22	cooc		1700	-	-	-	no	no	yes
25	cooc		1700	-	-	-	no	yes	yes
30	cooc		1700	-	-	-	no	yes	no
35	cooc		1700	-	-	-	no	yes	yes
4	cooc		1600	-	-	-	no	no	yes
40	cooc		1600	-	-	-	no	yes	yes
42	cooc		1700	-	-	-	no	no	yes
50	cooc		1600	-	-	-	no	yes	yes
60	cooc		1600	-	-	-	no	yes	yes
65	cooc		1700	-	-	-	no	yes	yes
70	cooc		1700	-	-	-	no	yes	yes
75	cooc		1700	-	-	-	no	yes	yes
80	cooc		1700	-	-	-	no	yes	yes
85	cooc		1700	-	-	-	no	no	yes
90	cooc		1600	-	-	-	no	yes	yes
901	cooc		1843	-	-	-	no	no	yes
10	cooc		1600	-	-	-	yes	yes	yes
100	cooc		1600	-	-	-	yes	yes	yes
1000	cooc		1600	-	-	-	yes	yes	yes
100000	cooc		1600	-	-	-	no	yes	no
101	cooc		1600	-	-	-	no	yes	no
1014	cooc		1600	-	-	-	no	no	yes
1015	cooc		1700	-	-	-	no	no	yes
102	cooc		1600	-	-	-	no	yes	yes
1025	cooc		1600	-	-	-	no	no	yes
10287	cooc		1700	-	-	-	no	no	yes
103	cooc		1600	-	-	-	no	no	yes
1030	cooc		1600	-	-	-	no	yes	yes
1035	cooc		1700	-	-	-	no	no	yes
104	cooc		1600	-	-	-	no	yes	yes
1040	cooc		1600	-	-	-	no	yes	no
105	cooc		1600	-	-	-	no	yes	yes
11	cooc		1600	-	-	-	yes	yes	yes
110	cooc		1600	-	-	-	yes	yes	yes
111	cooc		1600	-	-	-	no	yes	yes
112	cooc		1600	-	-	-	no	yes	no
1120	cooc		1600	-	-	-	no	yes	yes
1121	cooc		1600	-	-	-	no	no	yes
1130	cooc		1700	-	-	-	no	yes	no
1175	cooc		1700	-	-	-	no	no	yes
119	cooc		1600	-	-	-	no	yes	no
12	cooc		1600	-	-	-	yes	yes	yes
120	cooc		1600	-	-	-	no	yes	yes
1200	cooc		1600	-	-	-	no	no	yes
12000	cooc		1600	-	-	-	no	yes	no
121	cooc		1600	-	-	-	no	yes	yes
1212	cooc		1700	-	-	-	no	yes	no
1216	cooc		1700	-	-	-	no	no	yes
1218	cooc		1700	-	-	-	no	no	yes
125	cooc		1600	-	-	-	no	yes	yes
1250	cooc		1600	-	-	-	no	yes	yes
1251	cooc		1700	-	-	-	no	no	yes
1278	cooc		1700	-	-	-	no	no	yes
128	cooc		1600	-	-	-	no	yes	no
12v	cooc		1700	-	-	-	no	no	yes
13	cooc		1600	-	-	-	no	yes	yes
130	cooc		1600	-	-	-	no	yes	yes
1348	cooc		1700	-	-	-	no	yes	no
135	cooc		1600	-	-	-	no	no	yes
1350	cooc		1600	-	-	-	no	no	yes
1360	cooc		1600	-	-	-	no	no	yes
1365	cooc		1700	-	-	-	no	no	yes
137	cooc		1600	-	-	-	no	no	yes
138	cooc		1600	-	-	-	no	yes	no
14	cooc		1600	-	-	-	no	yes	yes
140	cooc		1600	-	-	-	yes	yes	yes
1400	cooc		1600	-	-	-	no	yes	no
1416	cooc		1700	-	-	-	no	no	yes
144	cooc		1600	-	-	-	no	yes	no
145	cooc		1600	-	-	-	no	yes	yes
15	cooc		1600	-	-	-	yes	yes	yes
150	cooc		1600	-	-	-	yes	yes	yes
1500	cooc		1600	-	-	-	no	no	yes
1500000	cooc		1600	-	-	-	no	yes	yes
150f	cooc		1840	-	-	-	no	no	yes
151	cooc		1600	-	-	-	no	no	yes
1525	cooc		1700	-	-	-	no	no	yes
155	cooc		1600	-	-	-	no	yes	yes
1550	cooc		1600	-	-	-	no	no	yes
16	cooc		1600	-	-	-	no	no	yes
160	cooc		1600	-	-	-	no	yes	yes
1601	cooc		1600	-	-	-	no	no	yes
165	cooc		1600	-	-	-	no	yes	no
168	cooc		1600	-	-	-	no	no	yes
17	cooc		1600	-	-	-	no	yes	yes
170	cooc		1600	-	-	-	no	yes	yes
175	cooc		1600	-	-	-	no	yes	yes
1750	cooc		1600	-	-	-	no	no	yes
177	cooc		1600	-	-	-	no	no	yes
1777	cooc		1700	-	-	-	no	no	yes
18	cooc		1600	-	-	-	no	yes	yes
180	cooc		1600	-	-	-	no	no	yes
1800	cooc		1600	-	-	-	no	yes	no
18010	cooc		1700	-	-	-	no	no	yes
1829	cooc		1700	-	-	-	yes	no	no
185	cooc		1600	-	-	-	no	no	yes
1852	cooc		1700	-	-	-	no	no	yes
1858	cooc		1700	-	-	-	no	yes	no
1867	cooc		1700	-	-	-	no	yes	no
18720	cooc		1700	-	-	-	no	yes	no
1878	cooc		1700	-	-	-	no	yes	no
1887	cooc		1700	-	-	-	no	yes	no
1889	cooc		1700	-	-	-	no	yes	no
1890	cooc		1700	-	-	-	no	no	yes
1895	cooc		1700	-	-	-	no	no	yes
19	cooc		1600	-	-	-	yes	no	yes
190	cooc		1600	-	-	-	no	yes	yes
1903	cooc		1700	-	-	-	no	no	yes
1909	cooc		1700	-	-	-	no	no	yes
1910	cooc		1600	-	-	-	no	no	yes
19121913	cooc		1912	-	-	-	no	no	yes
1914	cooc		1600	-	-	-	no	no	yes
1918	cooc		1700	-	-	-	no	no	yes
1920	cooc		1600	-	-	-	no	no	yes
1925	cooc		1700	-	-	-	no	no	yes
199	cooc		1600	-	-	-	no	yes	no
20	cooc		1600	-	-	-	yes	yes	yes
200	cooc		1600	-	-	-	yes	yes	yes
20000	cooc		1600	-	-	-	no	yes	no
2014	cooc		1700	-	-	-	no	no	yes
202	cooc		1600	-	-	-	no	yes	no
2025	cooc		1700	-	-	-	no	no	yes
2030	cooc		1700	-	-	-	no	no	yes
2063	cooc		1700	-	-	-	no	no	yes
21	cooc		1600	-	-	-	yes	yes	yes
210	cooc		1600	-	-	-	no	yes	yes
21010	cooc		1830	-	-	-	no	no	yes
212	cooc		1600	-	-	-	no	yes	no
22	cooc		1600	-	-	-	yes	no	yes
220	cooc		1600	-	-	-	no	no	yes
2230	cooc		1700	-	-	-	no	no	yes
2248	cooc		1700	-	-	-	no	no	yes
225	cooc		1600	-	-	-	no	yes	yes
2250	cooc		1700	-	-	-	no	no	yes
229	cooc		1700	-	-	-	no	no	yes
23	cooc		1600	-	-	-	yes	no	yes
230	cooc		1600	-	-	-	no	yes	yes
23012	cooc		1830	-	-	-	no	no	yes
23a	cooc		1600	-	-	-	no	no	yes
24	cooc		1600	-	-	-	yes	yes	yes
245	cooc		1600	-	-	-	no	no	yes
2475	cooc		1600	-	-	-	no	no	yes
24a	cooc		1600	-	-	-	no	no	yes
24ct	cooc		1861	-	-	-	no	no	yes
25	cooc		1600	-	-	-	yes	yes	yes
250	cooc		1600	-	-	-	yes	yes	yes
2535	cooc		1700	-	-	-	no	no	yes
2550	cooc		1700	-	-	-	no	no	yes
26	cooc		1600	-	-	-	yes	no	yes
260	cooc		1600	-	-	-	no	yes	yes
26012	cooc		1830	-	-	-	no	no	yes
265	cooc		1600	-	-	-	no	no	yes
267	cooc		1600	-	-	-	no	no	yes
27	cooc		1600	-	-	-	yes	no	yes
270	cooc		1600	-	-	-	no	yes	yes
275	cooc		1600	-	-	-	no	yes	yes
28	cooc		1600	-	-	-	yes	yes	yes
280	cooc		1600	-	-	-	no	no	yes
289	cooc		1600	-	-	-	no	no	yes
29	cooc		1600	-	-	-	no	no	yes
293	cooc		1600	-	-	-	no	no	yes
297	cooc		1700	-	-	-	no	no	yes
2a	cooc		1600	-	-	-	no	yes	no
2i2	cooc		1700	-	-	-	no	yes	no
2o	cooc		1600	-	-	-	no	no	yes
2per	cooc		1700	-	-	-	no	no	yes
2v	cooc		1600	-	-	-	no	yes	yes
2va	cooc		1600	-	-	-	no	yes	yes
30	cooc		1600	-	-	-	yes	yes	yes
300	cooc		1600	-	-	-	no	yes	yes
3035	cooc		1700	-	-	-	no	no	yes
3036	cooc		1700	-	-	-	no	no	yes
3055	cooc		1700	-	-	-	no	no	yes
3074	cooc		1700	-	-	-	no	yes	no
310	cooc		1600	-	-	-	no	yes	yes
31092	cooc		1830	-	-	-	no	no	yes
312	cooc		1600	-	-	-	no	no	yes
3150	cooc		1700	-	-	-	no	no	yes
32	cooc		1600	-	-	-	no	yes	yes
322	cooc		1600	-	-	-	no	no	yes
325	cooc		1600	-	-	-	no	yes	yes
32700	cooc		1700	-	-	-	no	yes	no
33	cooc		1600	-	-	-	no	yes	yes
335	cooc		1600	-	-	-	no	yes	no
3368	cooc		1700	-	-	-	no	yes	no
34	cooc		1600	-	-	-	no	no	yes
3427	cooc		1700	-	-	-	yes	no	no
345	cooc		1600	-	-	-	no	no	yes
34707	cooc		1840	-	-	-	no	no	yes
35	cooc		1600	-	-	-	no	yes	yes
350	cooc		1600	-	-	-	no	yes	yes
36	cooc		1600	-	-	-	no	yes	yes
360	cooc		1600	-	-	-	no	no	yes
37	cooc		1600	-	-	-	no	yes	yes
37000	cooc		1600	-	-	-	no	yes	no
375	cooc		1600	-	-	-	no	yes	yes
3750	cooc		1600	-	-	-	no	no	yes
375x95	cooc		1925	-	-	-	no	no	yes
378	cooc		1600	-	-	-	no	no	yes
380	cooc		1600	-	-	-	no	yes	no
39	cooc		1600	-	-	-	no	no	yes
390	cooc		1600	-	-	-	no	no	yes
3ct	cooc		1600	-	-	-	no	yes	yes
3d	cooc		1600	-	-	-	no	yes	no
3vs	cooc		1700	-	-	-	no	no	yes
40	cooc		1600	-	-	-	yes	yes	yes
400	cooc		1600	-	-	-	yes	yes	yes
41	cooc		1600	-	-	-	no	no	yes
410	cooc		1600	-	-	-	no	no	yes
420	cooc		1600	-	-	-	no	yes	no
425	cooc		1600	-	-	-	no	yes	yes
43	cooc		1600	-	-	-	no	yes	no
431	cooc		1700	-	-	-	no	yes	no
4345	cooc		1700	-	-	-	no	no	yes
435	cooc		1600	-	-	-	no	no	yes
440	cooc		1600	-	-	-	no	yes	yes
45	cooc		1600	-	-	-	no	yes	yes
450	cooc		1600	-	-	-	no	yes	yes
45a	cooc		1600	-	-	-	no	no	yes
46	cooc		1600	-	-	-	no	no	yes
46ct	cooc		1885	-	-	-	no	no	yes
47	cooc		1600	-	-	-	no	yes	yes
4711	cooc		1700	-	-	-	no	yes	yes
475	cooc		1600	-	-	-	no	yes	yes
48	cooc		1600	-	-	-	no	no	yes
480	cooc		1600	-	-	-	no	yes	yes
481	cooc		1700	-	-	-	no	no	yes
49	cooc		1600	-	-	-	no	yes	no
490	cooc		1600	-	-	-	no	no	yes
4951	cooc		1700	-	-	-	no	no	yes
4b	cooc		1600	-	-	-	no	no	yes
4d	cooc		1600	-	-	-	yes	yes	no
4den	cooc		1600	-	-	-	yes	no	no
4o	cooc		1600	-	-	-	no	no	yes
50	cooc		1600	-	-	-	no	yes	yes
500	cooc		1600	-	-	-	no	no	yes
50120	cooc		1840	-	-	-	no	no	yes
50130	cooc		1700	-	-	-	no	no	yes
509	cooc		1600	-	-	-	no	yes	no
510	cooc		1600	-	-	-	no	no	yes
52	cooc		1600	-	-	-	no	no	yes
520	cooc		1600	-	-	-	no	yes	no
525	cooc		1600	-	-	-	no	yes	no
53	cooc		1600	-	-	-	no	yes	no
532	cooc		1600	-	-	-	no	no	yes
5400	cooc		1600	-	-	-	no	no	yes
54a	cooc		1700	-	-	-	no	no	yes
55	cooc		1600	-	-	-	no	yes	no
550	cooc		1600	-	-	-	no	yes	yes
5561	cooc		1700	-	-	-	no	yes	no
5587	cooc		1700	-	-	-	no	no	yes
56	cooc		1600	-	-	-	no	yes	yes
560	cooc		1600	-	-	-	no	yes	no
57	cooc		1600	-	-	-	no	yes	no
575	cooc		1600	-	-	-	no	yes	yes
58	cooc		1600	-	-	-	no	yes	no
5852	cooc		1700	-	-	-	no	yes	no
59	cooc		1600	-	-	-	no	yes	yes
5c	cooc		1600	-	-	-	no	no	yes
60	cooc		1600	-	-	-	no	yes	yes
600	cooc		1600	-	-	-	no	yes	yes
605	cooc		1700	-	-	-	no	no	yes
61	cooc		1600	-	-	-	no	yes	no
624	cooc		1600	-	-	-	no	no	yes
625	cooc		1600	-	-	-	no	yes	yes
64	cooc		1600	-	-	-	no	yes	no
640	cooc		1600	-	-	-	no	yes	no
644	cooc		1600	-	-	-	no	no	yes
65	cooc		1600	-	-	-	no	yes	yes
650	cooc		1600	-	-	-	no	yes	yes
660	cooc		1600	-	-	-	no	no	yes
671	cooc		1600	-	-	-	no	no	yes
675	cooc		1600	-	-	-	no	yes	yes
6885	cooc		1810	-	-	-	no	yes	no
69	cooc		1600	-	-	-	no	no	yes
692	cooc		1600	-	-	-	no	no	yes
6b	cooc		1600	-	-	-	no	no	yes
6ct	cooc		1600	-	-	-	no	no	yes
6lo	cooc		1700	-	-	-	no	no	yes
6op	cooc		1600	-	-	-	no	no	yes
70	cooc		1600	-	-	-	no	yes	yes
700	cooc		1600	-	-	-	no	no	yes
705	cooc		1700	-	-	-	no	no	yes
7090	cooc		1700	-	-	-	no	no	yes
71	cooc		1600	-	-	-	no	no	yes
725	cooc		1600	-	-	-	no	yes	no
72a	cooc		1600	-	-	-	no	no	yes
73	cooc		1600	-	-	-	no	yes	no
730	cooc		1600	-	-	-	no	yes	no
75	cooc		1600	-	-	-	no	yes	yes
750	cooc		1600	-	-	-	no	yes	yes
751	cooc		1600	-	-	-	no	yes	no
7608	cooc		1700	-	-	-	no	no	yes
7688	cooc		1700	-	-	-	no	no	yes
790	cooc		1600	-	-	-	no	no	yes
7ct	cooc		1600	-	-	-	no	no	yes
7j	cooc		1600	-	-	-	no	no	yes
80	cooc		1600	-	-	-	no	yes	no
80l	cooc		1600	-	-	-	no	no	yes
815	cooc		1700	-	-	-	no	no	yes
825	cooc		1700	-	-	-	no	no	yes
830	cooc		1600	-	-	-	no	yes	no
84	cooc		1600	-	-	-	no	no	yes
85	cooc		1600	-	-	-	no	yes	no
850	cooc		1600	-	-	-	no	yes	yes
86	cooc		1600	-	-	-	no	no	yes
8710	cooc		1700	-	-	-	no	no	yes
875	cooc		1700	-	-	-	no	no	yes
8792	cooc		1810	-	-	-	no	no	yes
88	cooc		1600	-	-	-	no	no	yes
880	cooc		1600	-	-	-	no	yes	no
90	cooc		1600	-	-	-	no	yes	yes
905	cooc		1700	-	-	-	no	no	yes
910	cooc		1600	-	-	-	no	no	yes
930	cooc		1600	-	-	-	no	yes	no
950	cooc		1600	-	-	-	no	yes	no
9lo	cooc		1700	-	-	-	no	yes	no
9loo	cooc		1700	-	-	-	no	yes	no
aa	cooc		1600	-	-	-	no	yes	no
aagenaam	cooc		1700	-	-	-	no	no	yes
aak	cooc		1600	-	-	-	no	yes	no
aalbes	cooc		1700	-	-	-	no	yes	yes
aan	cooc		1600	-	-	-	yes	yes	yes
aanbesteden	cooc		1700	-	-	-	yes	no	no
aanbesteding	cooc		1700	-	-	-	no	no	yes
aanbevelen	cooc		1700	-	-	-	no	yes	yes
aanbevelenswaardig	cooc		1800	-	-	-	no	yes	no
aanbevelenswardig	cooc		1890	-	-	-	no	yes	no
aanbieden	cooc		1700	-	-	-	yes	yes	yes
aanbieding	cooc		1600	-	-	-	no	no	yes
aanbod	cooc		1700	-	-	-	no	no	yes
aanbranden	cooc		1700	-	-	-	no	yes	no
aanbrengen	cooc		1600	-	-	-	no	yes	yes
aandacht	cooc		1700	-	-	-	no	no	yes
aandoen	cooc		1700	-	-	-	no	yes	yes
aandoening	cooc		1700	-	-	-	no	yes	yes
aanduiden	cooc		1700	-	-	-	no	yes	no
aang	cooc		1700	-	-	-	no	no	yes
aangaan	cooc		1700	-	-	-	no	yes	yes
aangaande	cooc		1600	-	-	-	no	yes	yes
aange	cooc		1700	-	-	-	no	yes	no
aange1	cooc		1856	-	-	-	no	no	yes
aangekomene	cooc		1600	-	-	-	no	yes	no
aangenaam	cooc		1700	-	-	-	yes	yes	yes
aangenaamst	cooc		1700	-	-	-	no	yes	yes
aangenani	cooc		1883	-	-	-	no	yes	no
aangenarn	cooc		1893	-	-	-	no	yes	no
aangevaren	cooc		1700	-	-	-	no	no	yes
aangezicht	cooc		1700	-	-	-	no	yes	yes
aangezien	cooc		1700	-	-	-	no	yes	yes
aanhouden	cooc		1600	-	-	-	no	yes	yes
aankleving	cooc		1700	-	-	-	no	yes	no
aanknopen	cooc		1700	-	-	-	no	yes	no
aankomen	cooc		1600	-	-	-	no	no	yes
aankomst	cooc		1700	-	-	-	yes	no	no
aankoop	cooc		1700	-	-	-	no	yes	no
aanleg	cooc		1700	-	-	-	no	yes	yes
aanleiding	cooc		1700	-	-	-	no	yes	yes
aanlokkelijk	cooc		1800	-	-	-	no	yes	yes
aanmerkelijk	cooc		1700	-	-	-	yes	yes	yes
aanmond	cooc		1862	-	-	-	no	yes	no
aannemen	cooc		1600	-	-	-	yes	no	yes
aannemer	cooc		1700	-	-	-	no	yes	yes
aanplakken	cooc		1700	-	-	-	yes	no	no
aanprijzen	cooc		1800	-	-	-	no	yes	no
aanraking	cooc		1700	-	-	-	no	yes	yes
aanslag	cooc		1700	-	-	-	no	yes	yes
aansporen	cooc		1810	-	-	-	no	yes	no
aanstekelijk	cooc		1820	-	-	-	no	no	yes
aansteken	cooc		1810	-	-	-	no	yes	no
aansteking	cooc		1810	-	-	-	no	yes	yes
aanstonds	cooc		1700	-	-	-	no	yes	no
aanstootelijk	cooc		1820	-	-	-	no	no	yes
aantal	cooc		1700	-	-	-	no	no	yes
aantasten	cooc		1700	-	-	-	no	yes	yes
aantrekken	cooc		1700	-	-	-	no	yes	yes
aanvaarden	cooc		1600	-	-	-	no	yes	no
aanval	cooc		1600	-	-	-	no	no	yes
aanvaller	cooc		1700	-	-	-	no	yes	no
aanvang	cooc		1600	-	-	-	yes	yes	yes
aanvangen	cooc		1600	-	-	-	no	yes	no
aanvoer	cooc		1700	-	-	-	no	yes	yes
aanvoeren	cooc		1700	-	-	-	yes	yes	yes
aanwenden	cooc		1600	-	-	-	yes	yes	no
aanwending	cooc		1700	-	-	-	no	yes	yes
aanwezend	cooc		1700	-	-	-	yes	no	no
aanwezig	cooc		1700	-	-	-	no	no	yes
aanwijzen	cooc		1800	-	-	-	no	yes	yes
aanwijzer	cooc		1810	-	-	-	yes	no	no
aanwijzing	cooc		1700	-	-	-	no	no	yes
aanzien	cooc		1600	-	-	-	yes	yes	yes
aanzienlijk	cooc		1700	-	-	-	yes	yes	yes
aard	cooc		1600	-	-	-	no	yes	yes
aardappel	cooc		1700	-	-	-	yes	yes	yes
aardbei	cooc		1700	-	-	-	no	yes	yes
aarde	cooc		1600	-	-	-	no	yes	yes
aardewerk	cooc		1700	-	-	-	no	no	yes
aardig	cooc		1600	-	-	-	no	no	yes
aardigheid	cooc		1700	-	-	-	no	no	yes
aardrijkskund	cooc		1820	-	-	-	no	no	yes
aardrijkskundig	cooc		1800	-	-	-	no	no	yes
aars	cooc		1600	-	-	-	no	yes	no
aau	cooc		1600	-	-	-	no	yes	no
abdijsiroop	cooc		1810	-	-	-	no	no	yes
abnormaal	cooc		1830	-	-	-	no	no	yes
absinthe	cooc		1810	-	-	-	no	yes	no
absoluut	cooc		1700	-	-	-	no	yes	yes
absoluuut	cooc		1913	-	-	-	no	no	yes
abz	cooc		1600	-	-	-	yes	no	no
ac	cooc		1600	-	-	-	no	yes	no
accident	cooc		1600	-	-	-	no	yes	no
accijns	cooc		1600	-	-	-	yes	yes	yes
accountant	cooc		1810	-	-	-	no	no	yes
achten	cooc		1600	-	-	-	yes	yes	no
achter	cooc		1600	-	-	-	no	yes	yes
achterblijven	cooc		1600	-	-	-	no	no	yes
achteren	cooc		1600	-	-	-	no	no	yes
achterhoede	cooc		1600	-	-	-	no	yes	no
achterkamer	cooc		1700	-	-	-	no	no	yes
achterlaten	cooc		1600	-	-	-	yes	yes	yes
achterlijk	cooc		1800	-	-	-	no	no	yes
achterop	cooc		1600	-	-	-	no	no	yes
achtersteven	cooc		1810	-	-	-	no	yes	no
achterwaarts	cooc		1600	-	-	-	no	no	yes
achting	cooc		1600	-	-	-	no	yes	no
acker	cooc		1600	-	-	-	no	no	yes
acrobaat	cooc		1820	-	-	-	no	no	yes
act	cooc		1600	-	-	-	no	yes	no
actie	cooc		1600	-	-	-	no	no	yes
active	cooc		1600	-	-	-	yes	no	no
activiteit	cooc		1700	-	-	-	no	no	yes
actk	cooc		1700	-	-	-	no	yes	no
actos	cooc		1600	-	-	-	no	yes	no
actrice	cooc		1600	-	-	-	no	no	yes
ad	cooc		1600	-	-	-	no	yes	yes
adelaar	cooc		1700	-	-	-	no	no	yes
adem	cooc		1600	-	-	-	yes	yes	yes
ademen	cooc		1600	-	-	-	yes	yes	yes
ademhalen	cooc		1700	-	-	-	no	no	yes
ademhaling	cooc		1700	-	-	-	yes	yes	yes
ademing	cooc		1700	-	-	-	no	yes	no
administrateur	cooc		1600	-	-	-	no	yes	yes
administratie	cooc		1700	-	-	-	yes	no	no
adorp	cooc		1700	-	-	-	yes	no	no
adres	cooc		1600	-	-	-	no	yes	yes
adresboek	cooc		1820	-	-	-	no	no	yes
adresse	cooc		1700	-	-	-	yes	no	no
adresseere	cooc		1700	-	-	-	no	yes	no
adsistentie	cooc		1800	-	-	-	no	yes	no
advertising	cooc		1810	-	-	-	no	no	yes
adviseur	cooc		1810	-	-	-	no	no	yes
aert	cooc		1600	-	-	-	no	no	yes
aesthetisch	cooc		1830	-	-	-	no	no	yes
af	cooc		1600	-	-	-	no	yes	yes
afbeelding	cooc		1600	-	-	-	no	yes	no
