seed	co-occurence	time span	freq	total token timespan
duhati	biti	not-available	1091	14484352
duhati	ne	not-available	674	14484352
duhati	sluh	not-available	240	14484352
duhati	in	not-available	1207	14484352
duhati	sin	not-available	107	14484352
duhati	svet	not-available	682	14484352
duh	bog	not-available	178	14484352
duh	sin	not-available	94	14484352
duh	amen	not-available	28	14484352
duhati	amen	not-available	41	14484352
duhati	breza	not-available	200	14484352
duhati	okus	not-available	40	14484352
duhati	edinost	not-available	33	14484352
duhati	bog	not-available	110	14484352
duh	svet	not-available	404	14484352
duhati	barva	not-available	40	14484352
duhati	vekomaj	not-available	15	14484352
duh	oče	not-available	51	14484352
duh	in	not-available	1321	14484352
duhati	spočet	not-available	29	14484352
duhati	oda	not-available	305	14484352
duhati	rojen	not-available	36	14484352
duh	resničen	not-available	19	14484352
duh	usmiliti	not-available	13	14484352
duhati	iz	not-available	82	14484352
duhati	marija	not-available	17	14484352
duhati	kraljevati	not-available	6	14484352
duhati	jaz	not-available	138	14484352
duhati	verovati	not-available	16	14484352
duhati	devica	not-available	9	14484352
duh	se	not-available	760	14484352
duhati	temen	not-available	11	14484352
duhati	razjasniti	not-available	9	14484352
duhati	ki	not-available	266	14484352
duhati	jesti	not-available	617	14484352
duhati	do	not-available	21	14484352
duhati	oče	not-available	46	14484352
prijeten	biti	not-available	2202	14484352
prijeten	če	not-available	152	14484352
vonj	ki	not-available	95	14484352
vonj	jesti	not-available	276	14484352
vonj	puhteti	not-available	21	14484352
vonj	iz	not-available	46	14484352
duhati	več	not-available	66	14484352
duhati	sv	not-available	140	14484352
prijeten	in	not-available	2208	14484352
prijeten	on	not-available	691	14484352
prijeten	jesti	not-available	2368	14484352
duh	ta	not-available	655	14484352
duh	jesti	not-available	1908	14484352
duh	biti	not-available	890	14484352
duh	voljen	not-available	20	14484352
strupen	rosa	not-available	58	14484352
duh	telo	not-available	72	14484352
duh	prebivati	not-available	25	14484352
duh	hudoben	not-available	176	14484352
duh	oda	not-available	130	14484352
prijeten	ves	not-available	127	14484352
prijeten	prav	not-available	212	14484352
duh	grd	not-available	15	14484352
duh	ti	not-available	128	14484352
duh	zarotiti	not-available	14	14484352
duh	oč	not-available	16	14484352
duhati	kateri	not-available	143	14484352
duhati	on	not-available	349	14484352
duhati	46	not-available	4	14484352
duhati	jezus	not-available	7	14484352
duhati	poslati	not-available	24	14484352
duh	morati	not-available	16	14484352
duh	sv	not-available	208	14484352
duh	ženski	not-available	8	14484352
duh	on	not-available	866	14484352
duh	en	not-available	128	14484352
strupen	močnat	not-available	29	14484352
prijeten	kakor	not-available	248	14484352
prijeten	da	not-available	532	14484352
strupen	nepravi	not-available	16	14484352
duhati	spočeti	not-available	16	14484352
prijeten	kak	not-available	387	14484352
duh	hud	not-available	161	14484352
oster	jesti	not-available	1513	14484352
oster	nace	not-available	20	14484352
oster	pregledovati	not-available	10	14484352
oster	kateri	not-available	100	14484352
duhati	poln	not-available	79	14484352
duhati	oko	not-available	11	14484352
prijeten	življenje	not-available	187	14484352
prijeten	pri	not-available	143	14484352
prijeten	narediti	not-available	4	14484352
oster	ljubezen	not-available	8	14484352
oster	in	not-available	1665	14484352
oster	on	not-available	808	14484352
duh	imeti	not-available	149	14484352
duh	poseben	not-available	81	14484352
zatohel	in	not-available	40	14484352
zatohel	gost	not-available	6	14484352
zatohel	ko	not-available	4	14484352
dišati	po	not-available	647	14484352
dišati	dim	not-available	17	14484352
dišati	in	not-available	451	14484352
duh	tudi	not-available	216	14484352
duh	naš	not-available	66	14484352
prijeten	dišati	not-available	66	14484352
prijeten	pod	not-available	43	14484352
dišati	jesti	not-available	687	14484352
dišati	prijeten	not-available	56	14484352
dišati	pod	not-available	8	14484352
smrdeti	skidati	not-available	6	14484352
smrdeti	in	not-available	78	14484352
smrdeti	naj	not-available	12	14484352
smrdeti	po	not-available	55	14484352
prijeten	učilo	not-available	6	14484352
prijeten	lep	not-available	176	14484352
duhati	srce	not-available	66	14484352
duhati	en	not-available	66	14484352
opojen	topel	not-available	4	14484352
opojen	veter	not-available	10	14484352
opojen	čuden	not-available	9	14484352
duh	kateri	not-available	182	14484352
gnil	lobanja	not-available	8	14484352
gnil	truplo	not-available	9	14484352
gnil	kateri	not-available	4	14484352
duh	polnočen	not-available	8	14484352
duh	ki	not-available	407	14484352
duh	dahniti	not-available	6	14484352
duh	pred	not-available	17	14484352
duh	zbuditi	not-available	9	14484352
oster	čelada	not-available	4	14484352
oster	ta	not-available	284	14484352
prijeten	noč	not-available	19	14484352
prijeten	topel	not-available	57	14484352
duh	svoj	not-available	160	14484352
duh	gnada	not-available	14	14484352
duh	njegov	not-available	372	14484352
oster	odgovoriti	not-available	25	14484352
oster	debel	not-available	22	14484352
oster	glas	not-available	69	14484352
duh	le	not-available	76	14484352
duh	visok	not-available	44	14484352
duh	zgodba	not-available	6	14484352
duhati	svoj	not-available	210	14484352
duhati	da	not-available	273	14484352
duhati	ta	not-available	318	14484352
duh	oh	not-available	11	14484352
duh	da	not-available	565	14484352
duh	pokazati	not-available	36	14484352
duh	zopet	not-available	50	14484352
duhati	imeti	not-available	103	14484352
duhati	bratov	not-available	8	14484352
duh	troštar	not-available	18	14484352
prijeten	zagnati	not-available	4	14484352
prijeten	svoj	not-available	89	14484352
prijeten	nedolžen	not-available	9	14484352
prijeten	glas	not-available	97	14484352
