word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
Aroma_noun	seed		1799	no	no	no	yes	yes	yes	CATEGORY|tobacco|smoke	
Ausduenstung_noun	seed		1508	no	no	yes	yes	yes	yes		
Bluetenduft_noun	seed		1659	no	no	no	no	no	yes		
Blume_noun	seed		1659	yes	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Blumenduft_noun	seed		1781	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Bouquet_noun	seed		1754	no	no	no	yes	yes	yes		
Duft_noun	seed	['s14292']	1659	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Geruch_noun	seed	['s14288', 's27490']	1508	no	no	yes	yes	yes	yes	CATEGORY|tobacco|smoke	
Geruchssinn_noun	seed	['s27490']	1795	no	no	no	no	no	yes		
Gestank_noun	seed	['s14289']	1659	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Knoblauchgeruch_noun	seed		1782	no	no	no	no	yes	yes		
Lavendelwasser_noun	seed		1758	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Nase_noun	seed		1508	yes	yes	yes	yes	yes	yes		
Riechstoff_noun	seed		1797	no	no	no	yes	yes	yes		
Rosenduft_noun	seed		1781	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Ruch_noun	seed		1717	no	no	no	yes	yes	yes		
Schaerfe_noun	seed		1508	no	yes	yes	yes	yes	yes		
Spuersinn_noun	seed		1799	no	no	no	no	yes	yes		
Veilchenduft_noun	seed		1779	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
Wohlgeruch_noun	seed		1760	no	no	no	yes	yes	yes		
duftend_adj	seed		1760	yes	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
olfaktorisch_adj	seed	['s85082']	1890	no	no	no	no	no	yes		
riechend_adj	seed		1764	no	no	no	yes	yes	yes		CATEGORY|pungent
stinkend_adj	seed		1659	no	no	no	yes	yes	yes		CATEGORY|pungent
wohlriechend_adj	seed	['s93614']	1756	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
abgeben_verb	seed		1508	no	yes	yes	yes	yes	yes		
absondern_verb	seed		1508	no	yes	yes	yes	yes	yes		
duften_verb	seed	['s58713']	1751	no	no	no	yes	yes	yes		
parfuemieren_verb	seed	['s54647', 's106840']	1780	no	no	no	no	yes	yes		
riechen_verb	seed	['s58710', 's54431', 's58712', 's58565']	1659	yes	yes	yes	yes	yes	yes		
schnuppern_verb	seed	['s58567']	1813	no	no	no	no	no	yes		
stinken_verb	seed	['s54432', 's58711']	1751	no	no	no	yes	yes	yes		
verbreiten_verb	seed		1508	yes	yes	yes	yes	yes	yes		
wahrnehmen_verb	seed		1528	yes	yes	yes	yes	yes	yes		
wittern_verb	seed		1703	no	no	yes	yes	yes	yes		
Absonderung_noun	cooc		1508	no	no	no	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
Alkohol_noun	cooc		1508	no	no	no	no	yes	yes	CATEGORY|tobacco|smoke	
Ammoniak_noun	cooc		1659	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
