word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality	
aigreur_noun	seed		1553	yes	yes	yes	yes	yes	yes			
aromatique_adj	seed	['fragrant.a.01', 'aromatic.s.02']	1553	yes	yes	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	
arome_noun	seed	['aroma.n.02']	1611	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		manual
arôme_noun	seed	['olfactory_property.n.01', 'aroma.n.02']	1654	no	no	yes	yes	yes	yes	CATEGORY|food|beverage		manual
balsamine_noun	seed	['balsam.n.03', 'balsam.n.02']	1553	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
baume_noun	seed	['balsam.n.03', 'balsam.n.02', 'balm.n.01']	1553	yes	yes	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		manual
bouquet_noun	seed		1553	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
effluve_noun	seed		1611	no	no	yes	yes	yes	yes			
exhalaison_noun	seed		1587	yes	yes	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
flair_noun	seed		1616	no	no	no	yes	yes	yes			
flatulence_noun	seed	['flatulence.n.01']	1710	no	no	no	yes	yes	no			
fumet_noun	seed		1553	no	no	no	yes	yes	yes			
fétide_adj	seed	['fetid.s.01']	1547	yes	yes	yes	yes	yes	yes		CATEGORY|pungent	
fétidité_noun	seed		1744	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
gaz_noun	seed	['fart.n.01', 'flatulence.n.01']	1603	yes	yes	yes	yes	yes	yes	CATEGORY|emissions_traffic|fuel|dust		
gazier_noun	seed	['flatulence.n.01']	1623	no	no	no	yes	yes	yes			
infect_adj	seed	['disgusting.s.01']	1599	no	yes	yes	yes	yes	yes		CATEGORY|decayed	manual
inodore_adj	seed		1688	no	no	yes	yes	yes	yes			
musc_noun	seed		1603	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
méphitique_adj	seed		1603	no	no	yes	yes	yes	yes		CATEGORY|decayed	manual
narine_noun	seed	['nostril.n.01']	1553	yes	yes	yes	yes	yes	yes			
nasal_adj	seed		1670	no	yes	yes	yes	yes	yes			
naseau_noun	seed	['nostril.n.01']	1676	no	no	yes	yes	yes	yes			
nauséabond_adj	seed		1634	no	no	yes	yes	yes	yes		CATEGORY|decayed	
nez_noun	seed	['nose.n.06', 'nose.n.01']	1553	yes	yes	yes	yes	yes	yes	CATEGORY|animal|people		manual
odeur_noun	seed	['smell.n.05', 'perfume.n.02', 'olfactory_property.n.01', 'smell.n.04', 'smell.n.01', 'scent.n.02', 'aroma.n.02']	1553	yes	yes	yes	yes	yes	yes			
odorant_adj	seed	['odoriferous.s.03', 'odoriferous.s.02', 'odorous.a.01']	1553	no	no	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	
odorat_noun	seed	['smell.n.05', 'smell.n.04', 'smell.n.01', 'nose.n.06']	1558	yes	yes	yes	yes	yes	yes			
odoriférant_adj	seed		1553	no	yes	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	
olfactif_adj	seed	['olfactory.a.01']	1688	yes	yes	yes	yes	yes	yes			
olfaction_noun	seed	['smell.n.04']	1773	no	no	yes	yes	yes	yes			
parfum_noun	seed	['perfume.n.02', 'smell.n.01', 'aroma.n.02']	1553	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
parfumé_adj	seed		1632	no	yes	yes	yes	yes	yes		CATEGORY|Fragrant|fruity|floral	
pestilence_noun	seed		1572	yes	yes	yes	yes	yes	yes			
pestilentiel_adj	seed		1579	yes	yes	yes	yes	yes	yes		CATEGORY|decayed	manual
pet_noun	seed	['fart.n.01']	1587	no	no	yes	yes	yes	yes			
piquant_adj	seed		1553	no	no	yes	yes	yes	yes		CATEGORY|sweet|spicy	
prononce_noun	seed	['aroma.n.02']	1575	yes	yes	yes	yes	yes	yes			
puant_adj	seed	['fetid.s.01']	1553	no	yes	yes	yes	yes	yes		CATEGORY|decayed	
puanteur_noun	seed	['malodor.n.01']	1575	yes	yes	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
relent_noun	seed		1618	no	no	no	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten		manual
senteur_noun	seed		1553	yes	yes	yes	yes	yes	yes			
vent_noun	seed	['fart.n.01']	1547	yes	yes	yes	yes	yes	yes			
émanation_noun	seed		1623	yes	yes	yes	yes	yes	yes			
dégoûter_verb	seed		1603	yes	yes	yes	yes	yes	yes			
embaumer_verb	seed		1553	yes	yes	yes	yes	yes	yes			
empester_verb	seed	['reek.v.02']	1595	yes	yes	yes	yes	yes	yes			
exhalter_verb	seed		1616	no	no	yes	yes	yes	yes			
flairer_verb	seed	['smell.v.02', 'smell.v.03', 'smell.v.01']	1612	no	yes	yes	yes	yes	yes			
humer_verb	seed		1587	no	no	yes	yes	yes	yes			
odeur_verb	seed	['smell.v.02', 'smell.v.03']	1603	yes	yes	yes	yes	yes	yes			
parfumer_verb	seed		1547	yes	yes	yes	yes	yes	yes			
percevoir_verb	seed		1547	yes	yes	yes	yes	yes	yes			
puer_verb	seed	['reek.v.02']	1587	no	no	yes	yes	yes	yes			
renifler_verb	seed	['sniff.v.02', 'sniff.v.01']	1666	no	no	no	no	yes	yes			
sentir_verb	seed	['smell.v.02', 'smell.v.03', 'smell.v.01', 'scent.v.02']	1547	yes	yes	yes	yes	yes	yes			
abominable_adj	cooc		1574	no	yes	yes	yes	yes	yes		CATEGORY|decayed	manual
absinthe_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|tobacco|smoke		manual
acacia_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		
acanthe_noun	cooc		1553	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil		manual
achard_noun	cooc		1645	no	yes	no	yes	yes	yes	CATEGORY|food|beverage		manual
acide_adj	cooc		1553	no	yes	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
acide_noun	cooc		1553	no	yes	yes	yes	yes	yes	CATEGORY|cleaning|medicinal		
acier_noun	cooc		1553	no	no	no	no	yes	yes	CATEGORY|industry		
acétique_adj	cooc		1634	no	no	yes	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic	manual
