word	source	synset	first appearance	1650-1700	1701-1750	1751-1800	1801-1850	1851-1900	1901-1925	smell-source	quality
aroma_noun	seed	['aroma.n.02', 'spice.n.02']	1612	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
aromatico_adj	seed	['fragrant.a.01']	1701	no	no	no	yes	yes	yes		CATEGORY|Fragrant|fruity|floral
bouquet_noun	seed	['bouquet.n.02']	1787	no	no	no	no	yes	yes		
decomposizione_noun	seed	['putrefaction.n.01']	1564	no	no	yes	yes	yes	yes		
droga_noun	seed	['spice.n.02']	1667	no	no	no	yes	yes	yes	CATEGORY|cleaning|medicinal	
effluvio_noun	seed	['malodor.n.01', 'aroma.n.02', 'bouquet.n.02']	1706	no	no	no	no	yes	yes		
emanazione_noun	seed	['emission.n.01']	1610	yes	yes	yes	yes	yes	yes		
emissione_noun	seed	['emission.n.01']	1564	yes	yes	yes	yes	yes	yes		
esalazione_noun	seed	['emission.n.01']	1604	no	yes	yes	yes	yes	yes	CATEGORY|industry	
essenza_noun	seed	['essential_oil.n.01']	1610	yes	yes	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
estratto_noun	seed		1564	no	no	yes	yes	yes	yes		
fetido_adj	seed	['malodorous.a.01']	1599	no	no	yes	yes	yes	yes		CATEGORY|decayed
fetore_noun	seed	['malodor.n.01']	1623	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
fragrante_adj	seed	['fragrant.a.01']	1734	no	no	no	no	yes	yes		CATEGORY|Fragrant|fruity|floral
fragranza_noun	seed	['aroma.n.02']	1657	no	no	no	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
leppo_noun	seed	['malodor.n.01']	1610	no	no	yes	yes	yes	yes		
lezzo_noun	seed	['malodor.n.01']	1674	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
miasma_noun	seed	['malodor.n.01', 'miasma.n.02']	1718	no	no	no	yes	yes	yes		
morbo_noun	seed		1578	no	yes	yes	yes	yes	yes		
odorato_adj	seed		1555	no	no	yes	yes	yes	yes		
odore_noun	seed	['aroma.n.02', 'olfactory_property.n.01', 'smell.n.01', 'scent.n.02']	1550	no	yes	yes	yes	yes	yes	CATEGORY|tobacco|smoke	
odoroso_adj	seed	['fragrant.a.01']	1668	no	no	no	yes	yes	yes		CATEGORY|pungent
olezzo_noun	seed	['malodor.n.01', 'aroma.n.02']	1729	no	no	no	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
olfattivo_adj	seed		1802	no	no	no	yes	yes	yes		
olfattorio_adj	seed		1754	no	no	no	yes	yes	yes		
pestilenza_noun	seed	['malodor.n.01']	1638	no	yes	yes	yes	yes	yes		
profumato_adj	seed	['fragrant.a.01', 'scented.a.01']	1670	no	no	no	no	yes	yes		CATEGORY|Fragrant|fruity|floral
profumo_noun	seed	['aroma.n.02', 'olfactory_property.n.01', 'smell.n.01', 'perfume.n.02']	1638	no	no	yes	yes	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
putrefatto_adj	seed	['putrid.a.01']	1668	no	no	no	yes	yes	yes		CATEGORY|decayed
putrefazione_noun	seed	['putrefaction.n.01']	1697	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
puzza_noun	seed	['malodor.n.01']	1604	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
puzzo_noun	seed	['malodor.n.01']	1657	no	no	yes	yes	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
puzzolente_adj	seed	['malodorous.a.01']	1563	no	no	no	no	yes	yes		CATEGORY|decayed
sito_noun	seed	['malodor.n.01']	1550	yes	yes	yes	yes	yes	yes		
soave_adj	seed		1679	no	yes	yes	yes	yes	yes		CATEGORY|sweet|spicy
suave_adj	seed		1731	no	no	no	no	yes	yes		
tanfo_noun	seed	['malodor.n.01']	1599	no	no	no	no	yes	yes	CATEGORY|waste_garbage|pee|vomit|excrement|rotten	
annusare_verb	seed	['smell.v.01']	1769	no	no	no	no	no	yes		
emanare_verb	seed	['smell.v.02']	1564	yes	yes	yes	yes	yes	yes		
fiutare_verb	seed	['smell.v.01']	1707	no	no	no	no	yes	yes		
odorare_verb	seed	['smell.v.01', 'smell.v.02', 'smell.v.03', 'perfume.v.01']	1555	no	no	yes	yes	yes	yes		
olezzare_verb	seed		1715	no	no	yes	yes	yes	yes		
olire_verb	seed		1564	no	no	no	yes	yes	no		
profumare_verb	seed	['perfume.v.01', 'perfume.v.02']	1679	no	no	no	yes	yes	yes		
putire_verb	seed		1555	no	no	no	yes	yes	yes		
puzzare_verb	seed	['smell.v.03']	1603	no	no	no	yes	yes	yes		
sentire_verb	seed	['smell.v.01']	1550	yes	yes	yes	yes	yes	yes		
acetico_adj	cooc		1788	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic
aceto_noun	cooc		1610	no	no	no	yes	yes	yes	CATEGORY|food|beverage	
acetone_noun	cooc		1789	no	no	no	no	yes	yes	CATEGORY|cleaning|medicinal	
acido_noun	cooc		1671	no	no	yes	yes	yes	yes	CATEGORY|cleaning|medicinal	
acqua_noun	cooc		1550	no	no	yes	yes	yes	yes	CATEGORY|industry	
acquoso_adj	cooc		1706	no	no	no	yes	yes	yes		CATEGORY|chemical|hydro-carbons|synthetic
acre_adj	cooc		1565	no	no	no	yes	yes	yes		CATEGORY|pungent
acuto_adj	cooc		1557	no	no	yes	yes	yes	yes		CATEGORY|pungent
aglio_noun	cooc		1599	no	no	yes	yes	yes	yes	CATEGORY|food|beverage	
aiuola_noun	cooc		1701	no	no	no	no	yes	yes	CATEGORY|nature_flowers|plant|tree|soil	
