seed	co-occurence	time span	freq	total token timespan
geruch_noun	psychologie_noun	1851-1900	82	9030224368
geruch_noun	psychologie_noun	1901-1925	22	8260075719
absondern_verb	gleich_adj	1851-1900	60	9030224368
absondern_verb	weise_noun	1851-1900	30	9030224368
absondern_verb	gleich_adj	1901-1925	22	8260075719
absondern_verb	weise_noun	1901-1925	11	8260075719
abgeben_verb	muessen_verb	1801-1850	195	2558323698
abgeben_verb	muessen_verb	1851-1900	722	9030224368
abgeben_verb	muessen_verb	1901-1925	782	8260075719
abgeben_verb	koennen_verb	1801-1850	1316	2558323698
abgeben_verb	koennen_verb	1851-1900	5368	9030224368
abgeben_verb	koennen_verb	1901-1925	5098	8260075719
abgeben_verb	wollen_verb	1751-1800	11	190616610
abgeben_verb	wollen_verb	1801-1850	206	2558323698
abgeben_verb	wollen_verb	1851-1900	778	9030224368
abgeben_verb	wollen_verb	1901-1925	607	8260075719
abgeben_verb	kann_verb	1751-1800	66	190616610
abgeben_verb	kann_verb	1801-1850	691	2558323698
abgeben_verb	kann_verb	1851-1900	1647	9030224368
abgeben_verb	kann_verb	1901-1925	1500	8260075719
abgeben_verb	wuerde_verb	1801-1850	50	2558323698
abgeben_verb	wuerde_verb	1851-1900	95	9030224368
abgeben_verb	wuerde_verb	1901-1925	120	8260075719
abgeben_verb	duerfen_verb	1801-1850	40	2558323698
abgeben_verb	duerfen_verb	1851-1900	154	9030224368
abgeben_verb	duerfen_verb	1901-1925	145	8260075719
abgeben_verb	auch_adv	1751-1800	37	190616610
abgeben_verb	gesetz_noun	1751-1800	25	190616610
abgeben_verb	gesetz_noun	1801-1850	195	2558323698
abgeben_verb	gesetz_noun	1851-1900	321	9030224368
abgeben_verb	gesetz_noun	1901-1925	249	8260075719
abgeben_verb	koennen_verb	1751-1800	111	190616610
abgeben_verb	will_verb	1851-1900	245	9030224368
abgeben_verb	tritt_verb	1851-1900	95	9030224368
abgeben_verb	will_verb	1901-1925	238	8260075719
blume_noun	blau_adj	1901-1925	604	8260075719
blume_noun	sehn_verb	1901-1925	13	8260075719
absondern_verb	denn_adv	1801-1850	9	2558323698
absondern_verb	freilich_adv	1801-1850	9	2558323698
absondern_verb	denn_adv	1851-1900	13	9030224368
absondern_verb	freilich_adv	1851-1900	13	9030224368
absondern_verb	denn_adv	1901-1925	5	8260075719
absondern_verb	freilich_adv	1901-1925	5	8260075719
abgeben_verb	koenne_verb	1751-1800	72	190616610
abgeben_verb	vielmehr_adv	1751-1800	3	190616610
abgeben_verb	koenne_verb	1801-1850	264	2558323698
abgeben_verb	vielmehr_adv	1801-1850	13	2558323698
abgeben_verb	koenne_verb	1851-1900	372	9030224368
abgeben_verb	koenne_verb	1901-1925	439	8260075719
abgeben_verb	ankommen_verb	1801-1850	45	2558323698
abgeben_verb	moralisch_adj	1801-1850	15	2558323698
abgeben_verb	ankommen_verb	1851-1900	27	9030224368
abgeben_verb	moralisch_adj	1851-1900	9	9030224368
abgeben_verb	ankommen_verb	1901-1925	27	8260075719
abgeben_verb	moralisch_adj	1901-1925	9	8260075719
absondern_verb	alsdenn_adv	1801-1850	5	2558323698
absondern_verb	alsdenn_adv	1851-1900	8	9030224368
absondern_verb	alsdenn_adv	1901-1925	7	8260075719
absondern_verb	wollten_verb	1801-1850	54	2558323698
absondern_verb	ungebildeten_adj	1801-1850	18	2558323698
absondern_verb	wollten_verb	1851-1900	16	9030224368
