seed	co-occurence	time span	freq	total token timespan
essenza_noun	cosa_noun	1801-1850	1667	277266465
essenza_noun	cosa_noun	1851-1900	6021	2845023824
essenza_noun	cosa_noun	1901-1925	2971	2193087515
essenza_noun	stesso_adj	1801-1850	648	277266465
essenza_noun	stesso_adj	1851-1900	4235	2845023824
essenza_noun	stesso_adj	1901-1925	3361	2193087515
essenza_noun	cosa_noun	1751-1800	65	19274091
essenza_noun	trementina_noun	1801-1850	516	277266465
essenza_noun	trementina_noun	1851-1900	1593	2845023824
essenza_noun	trementina_noun	1901-1925	733	2193087515
essenza_noun	stesso_adj	1751-1800	23	19274091
morbo_noun	caso_noun	1851-1900	464	2845023824
morbo_noun	caso_noun	1901-1925	1117	2193087515
estratto_noun	centesimo_noun	1801-1850	9	277266465
estratto_noun	centesimo_noun	1851-1900	148	2845023824
sentire_verb	farsi_verb	1801-1850	822	277266465
sentire_verb	fama_noun	1801-1850	68	277266465
sentire_verb	farsi_verb	1851-1900	3155	2845023824
sentire_verb	fama_noun	1851-1900	90	2845023824
sentire_verb	fare_verb	1851-1900	26159	2845023824
sentire_verb	fare_verb	1901-1925	18450	2193087515
essenza_noun	definire_verb	1851-1900	23	2845023824
essenza_noun	definire_verb	1901-1925	21	2193087515
estratto_noun	basire_noun	1901-1925	33	2193087515
sentire_verb	farsi_verb	1901-1925	2087	2193087515
sentire_verb	poetare_noun	1901-1925	50	2193087515
sentire_verb	comprendere_verb	1851-1900	120	2845023824
sentire_verb	comprendere_verb	1901-1925	139	2193087515
esalazione_noun	causare_noun	1901-1925	9	2193087515
sentire_verb	pensare_verb	1801-1850	972	277266465
sentire_verb	pensare_verb	1851-1900	4059	2845023824
sentire_verb	pensare_verb	1901-1925	3174	2193087515
sentire_verb	modo_noun	1851-1900	6514	2845023824
sentire_verb	modo_noun	1901-1925	4677	2193087515
sentire_verb	liberarla_verb	1801-1850	4	277266465
sentire_verb	liberarla_verb	1851-1900	12	2845023824
sentire_verb	vedere_verb	1851-1900	1522	2845023824
sentire_verb	vedere_verb	1901-1925	1145	2193087515
sentire_verb	colpo_noun	1801-1850	54	277266465
sentire_verb	frutto_noun	1801-1850	43	277266465
essenza_noun	conoscere_verb	1851-1900	296	2845023824
essenza_noun	conoscere_verb	1901-1925	178	2193087515
sentire_verb	fare_verb	1801-1850	6963	277266465
sentire_verb	necessità_noun	1801-1850	701	277266465
sentire_verb	necessità_noun	1851-1900	2104	2845023824
sentire_verb	necessità_noun	1901-1925	1219	2193087515
sentire_verb	messa_noun	1851-1900	79	2845023824
sentire_verb	messa_noun	1901-1925	46	2193087515
sentire_verb	fargli_verb	1801-1850	50	277266465
sentire_verb	fargli_verb	1851-1900	130	2845023824
sentire_verb	capire_verb	1851-1900	11	2845023824
sentire_verb	capire_verb	1901-1925	24	2193087515
sentire_verb	maniera_noun	1801-1850	332	277266465
sentire_verb	maniera_noun	1851-1900	486	2845023824
sentire_verb	maniera_noun	1901-1925	250	2193087515
sentire_verb	non_adv	1851-1900	6058	2845023824
sentire_verb	non_adv	1901-1925	4366	2193087515
sito_noun	riconoscere_verb	1701-1750	5	830659
sito_noun	riconoscere_verb	1751-1800	8	19274091
sito_noun	riconoscere_verb	1801-1850	56	277266465
sito_noun	riconoscere_verb	1851-1900	33	2845023824
sentire_verb	farsi_verb	1751-1800	65	19274091
sentire_verb	sempre_adv	1851-1900	523	2845023824
sentire_verb	molto_adv	1851-1900	2355	2845023824
sentire_verb	sempre_adv	1901-1925	532	2193087515
sentire_verb	molto_adv	1901-1925	1647	2193087515
odore_noun	causare_noun	1851-1900	16	2845023824
odore_noun	cattivare_adj	1851-1900	601	2845023824
essenza_noun	cogliere_verb	1901-1925	106	2193087515
essenza_noun	vero_adj	1901-1925	1568	2193087515
sentire_verb	voce_noun	1851-1900	3379	2845023824
sentire_verb	voce_noun	1901-1925	3101	2193087515
essenza_noun	basire_noun	1851-1900	92	2845023824
essenza_noun	basire_noun	1901-1925	78	2193087515
sentire_verb	musico_noun	1801-1850	5	277266465
sentire_verb	musico_noun	1851-1900	38	2845023824
sentire_verb	musico_noun	1901-1925	31	2193087515
sentire_verb	sintomo_noun	1851-1900	15	2845023824
sentire_verb	sintomo_noun	1901-1925	4	2193087515
sito_noun	propo_noun	1851-1900	52	2845023824
sito_noun	propo_noun	1901-1925	44	2193087515
sentire_verb	parere_noun	1801-1850	299	277266465
sentire_verb	parere_noun	1851-1900	1778	2845023824
sentire_verb	parere_noun	1901-1925	1229	2193087515
sentire_verb	pesare_noun	1851-1900	1315	2845023824
sentire_verb	pesare_noun	1901-1925	965	2193087515
sentire_verb	po_noun	1851-1900	164	2845023824
sentire_verb	po_noun	1901-1925	155	2193087515
sentire_verb	discorso_noun	1901-1925	46	2193087515
sentire_verb	bisognare_noun	1801-1850	1165	277266465
sentire_verb	bisognare_noun	1851-1900	6411	2845023824
sentire_verb	bisognare_noun	1901-1925	3778	2193087515
sentire_verb	presenza_noun	1851-1900	177	2845023824
sentire_verb	presenza_noun	1901-1925	130	2193087515
sentire_verb	infelicità_noun	1851-1900	58	2845023824
sentire_verb	infelicità_noun	1901-1925	121	2193087515
essenza_noun	conoscere_verb	1801-1850	101	277266465
sentire_verb	effetto_noun	1751-1800	41	19274091
sentire_verb	effetto_noun	1801-1850	346	277266465
sentire_verb	effetto_noun	1851-1900	1663	2845023824
sentire_verb	effetto_noun	1901-1925	1101	2193087515
sentire_verb	pesare_noun	1801-1850	486	277266465
sentire_verb	rumore_noun	1801-1850	12	277266465
sentire_verb	rumore_noun	1851-1900	86	2845023824
sentire_verb	rumore_noun	1901-1925	55	2193087515
sentire_verb	dentro_adv	1901-1925	16	2193087515
sentire_verb	sé_noun	1901-1925	17	2193087515
sentire_verb	cosa_noun	1901-1925	148	2193087515
sito_noun	visitare_verb	1851-1900	19	2845023824
sentire_verb	esprimere_verb	1801-1850	27	277266465
sentire_verb	esprimere_verb	1851-1900	144	2845023824
sentire_verb	esprimere_verb	1901-1925	69	2193087515
sentire_verb	dovere_noun	1851-1900	177	2845023824
sentire_verb	dovere_noun	1901-1925	273	2193087515
putire_verb	alienum_verb	1801-1850	17	277266465
putire_verb	alienum_verb	1851-1900	67	2845023824
putire_verb	alienum_verb	1901-1925	53	2193087515
pestilenza_noun	causare_noun	1801-1850	9	277266465
pestilenza_noun	causare_noun	1851-1900	19	2845023824
pestilenza_noun	causare_noun	1901-1925	21	2193087515
fragranza_noun	concedere_verb	1801-1850	4	277266465
fragranza_noun	concedere_verb	1851-1900	10	2845023824
fragranza_noun	concedere_verb	1901-1925	9	2193087515
sentire_verb	suonare_noun	1901-1925	54	2193087515
sentire_verb	par_verb	1851-1900	494	2845023824
sentire_verb	par_verb	1901-1925	659	2193087515
sentire_verb	concorrenza_noun	1901-1925	12	2193087515
sentire_verb	influsso_noun	1801-1850	19	277266465
sentire_verb	influsso_noun	1851-1900	194	2845023824
sentire_verb	influsso_noun	1901-1925	233	2193087515
sentire_verb	conseguenza_noun	1851-1900	85	2845023824
essenza_noun	comprendere_verb	1851-1900	68	2845023824
essenza_noun	comprendere_verb	1901-1925	54	2193087515
sentire_verb	bellezza_noun	1901-1925	26	2193087515
sentire_verb	bocca_noun	1851-1900	133	2845023824
sentire_verb	bocca_noun	1901-1925	83	2193087515
