seed	co-occurence	time span	freq	total token timespan
bos	000	1851-1900	209	5394064364
bos	stroo	1851-1900	586	5394064364
bos	100	1851-1900	4018	5394064364
bos	200	1851-1900	149	5394064364
bos	de	1851-1900	2728	5394064364
bos	002	1901-1925	42	7815890332
bos	004	1901-1925	6	7815890332
bos	bajam	1901-1925	21	7815890332
bos	005	1901-1925	15	7815890332
aroma	00	1901-1925	6	7815890332
aroma	per	1901-1925	210	7815890332
aroma	kist	1901-1925	167	7815890332
aroma	van	1901-1925	987	7815890332
lucht	015	1801-1850	25	1565489769
lucht	een	1801-1850	377	1565489769
lucht	tarwebrood	1801-1850	425	1565489769
lucht	van	1801-1850	1077	1565489769
lucht	016	1801-1850	12	1565489769
lucht	017	1801-1850	8	1565489769
neuzen	020	1901-1925	52	7815890332
neuzen	paddestoel	1901-1925	42	7815890332
neuzen	050	1901-1925	26	7815890332
neuzen	tante	1901-1925	17	7815890332
parfumerie	025	1851-1900	342	5394064364
parfumerie	champooing	1851-1900	118	5394064364
parfumerie	de	1851-1900	5246	5394064364
parfumerie	ie	1851-1900	47	5394064364
essence	025	1851-1900	21	5394064364
essence	voor	1851-1900	413	5394064364
essence	ananas	1851-1900	18	5394064364
essence	anisette	1851-1900	18	5394064364
odeur	025	1851-1900	8	5394064364
odeur	nouvelle	1851-1900	8	5394064364
odeur	création	1851-1900	8	5394064364
odeur	ed	1851-1900	14	5394064364
parfumerie	pari	1851-1900	754	5394064364
parfumerie	el	1851-1900	12	5394064364
parfumerie	et	1851-1900	620	5394064364
parfumerie	shampooing	1851-1900	48	5394064364
geurig	030	1851-1900	13	5394064364
geurig	slemppoeder	1851-1900	33	5394064364
geurig	extra	1851-1900	271	5394064364
geurig	pak	1851-1900	32	5394064364
neuzen	035	1901-1925	35	7815890332
neuzen	bril	1901-1925	52	7815890332
geurig	040	1851-1900	7	5394064364
geurig	per	1851-1900	173	5394064364
bos	04	1901-1925	20	7815890332
bos	oper	1901-1925	107	7815890332
bos	100	1901-1925	25128	7815890332
bos	wit	1901-1925	1657	7815890332
geur	050	1901-1925	112	7815890332
geur	een	1901-1925	1269	7815890332
geur	aangenaam	1901-1925	1187	7815890332
geur	en	1901-1925	7270	7815890332
corsage	050	1851-1900	6	5394064364
corsage	veeren	1851-1900	28	5394064364
corsage	voor	1851-1900	55	5394064364
corsage	060	1851-1900	83	5394064364
geur	060	1901-1925	20	7815890332
geurig	060	1851-1900	41	5394064364
geurig	melang	1851-1900	184	5394064364
geurig	080	1851-1900	254	5394064364
bos	per	1901-1925	56430	7815890332
bos	andijvie	1901-1925	652	7815890332
geurig	070	1851-1900	30	5394064364
geurig	070	1901-1925	391	7815890332
geurig	extra	1901-1925	1225	7815890332
geurig	melang	1901-1925	1262	7815890332
geurig	080	1901-1925	1554	7815890332
bos	070	1901-1925	74	7815890332
bos	fransch	1901-1925	367	7815890332
bos	selderij	1901-1925	3715	7815890332
odeur	075	1901-1925	53	7815890332
odeur	tot	1901-1925	41	7815890332
odeur	reisnecessaire	1901-1925	24	7815890332
odeur	enz	1901-1925	19	7815890332
bos	080	1901-1925	108	7815890332
bos	bacove	1901-1925	50	7815890332
bos	appel	1901-1925	222	7815890332
essence	080	1901-1925	53	7815890332
essence	of	1901-1925	67	7815890332
essence	flacon	1901-1925	218	7815890332
geurig	624	1901-1925	181	7815890332
geurig	en	1901-1925	5188	7815890332
geurig	hoog	1901-1925	524	7815890332
geurig	7608	1901-1925	428	7815890332
geurig	8792	1901-1925	614	7815890332
geurig	910	1901-1925	30	7815890332
geurig	en	1851-1900	4702	5394064364
geurig	hoog	1851-1900	186	5394064364
geurig	de	1851-1900	473	5394064364
geurig	de	1901-1925	586	7815890332
aroma	080	1901-1925	43	7815890332
aroma	maggi	1901-1925	187	7815890332
aroma	075	1901-1925	53	7815890332
aroma	11	1901-1925	39	7815890332
bos	12	1901-1925	705	7815890332
geparfumeerd	085	1901-1925	71	7815890332
geparfumeerd	met	1901-1925	50	7815890332
geparfumeerd	wierookpoeder	1901-1925	36	7815890332
bos	0901	1901-1925	12	7815890332
aroma	090	1851-1900	6	5394064364
aroma	volkomen	1851-1900	46	5394064364
aroma	gelijk	1851-1900	46	5394064364
aroma	aan	1851-1900	142	5394064364
aroma	090	1901-1925	75	7815890332
aroma	volkomen	1901-1925	185	7815890332
aroma	gelijk	1901-1925	160	7815890332
aroma	aan	1901-1925	323	7815890332
bos	090	1901-1925	43	7815890332
bouquet	090	1901-1925	90	7815890332
bouquet	van	1901-1925	660	7815890332
bouquet	viool	1901-1925	65	7815890332
geurig	090	1901-1925	151	7815890332
bos	090	1851-1900	14	5394064364
bos	knolselderij	1851-1900	1232	5394064364
bos	per	1851-1900	33601	5394064364
bos	30	1851-1900	932	5394064364
geparfumeerd	090	1901-1925	30	7815890332
geparfumeerd	tot	1901-1925	8	7815890332
geparfumeerd	435	1901-1925	28	7815890332
geparfumeerd	en	1901-1925	659	7815890332
aroma	100	1901-1925	50	7815890332
bos	1000	1851-1900	254	5394064364
bos	en	1851-1900	2281	5394064364
bos	stuk	1851-1900	949	5394064364
bos	1000	1901-1925	293	7815890332
bos	rabarber	1901-1925	2103	7815890332
bos	rhabarber	1851-1900	6	5394064364
bos	of	1851-1900	849	5394064364
bos	40	1851-1900	543	5394064364
bos	stuk	1901-1925	1016	7815890332
bos	40	1901-1925	1078	7815890332
bos	ui	1851-1900	507	5394064364
bos	ui	1901-1925	1312	7815890332
bos	wortelen	1851-1900	697	5394064364
bos	wortelen	1901-1925	3034	7815890332
bos	130	1901-1925	51	7815890332
bos	talhout	1901-1925	18	7815890332
bos	022	1901-1925	12	7815890332
neuzen	100	1901-1925	73	7815890332
neuzen	250	1901-1925	34	7815890332
neuzen	te	1901-1925	682	7815890332
bouquet	100	1901-1925	292	7815890332
bouquet	550	1901-1925	43	7815890332
bouquet	arrela	1901-1925	25	7815890332
bouquet	50	1901-1925	321	7815890332
bouquet	arvela	1901-1925	34	7815890332
bos	aanvoeren	1901-1925	33	7815890332
bos	mand	1901-1925	1474	7815890332
bos	aardappel	1901-1925	1172	7815890332
bos	asperge	1901-1925	1658	7815890332
bos	blauw	1901-1925	766	7815890332
bos	250	1851-1900	601	5394064364
bos	aardappel	1851-1900	734	5394064364
bos	boter	1851-1900	65	5394064364
bos	300	1851-1900	375	5394064364
bos	soort	1901-1925	4479	7815890332
bos	350	1851-1900	120	5394064364
bos	375	1851-1900	117	5394064364
bos	425	1851-1900	50	5394064364
bos	beukenhout	1851-1900	44	5394064364
bos	450	1851-1900	109	5394064364
bos	380	1851-1900	18	5394064364
bos	475	1901-1925	81	7815890332
bos	beukenhout	1901-1925	67	7815890332
bos	325	1901-1925	65	7815890332
bos	480	1901-1925	18	7815890332
bos	aanvoer	1901-1925	589	7815890332
bos	bloemkool	1901-1925	4736	7815890332
bos	klei	1901-1925	204	7815890332
bos	zand	1901-1925	121	7815890332
bos	zak	1901-1925	597	7815890332
bos	augurk	1901-1925	197	7815890332
bos	tot	1901-1925	952	7815890332
bos	ets	1901-1925	87	7815890332
bos	bellefleur	1901-1925	83	7815890332
bos	kin	1901-1925	127	7815890332
bos	berk	1901-1925	459	7815890332
bos	mosselhout	1901-1925	317	7815890332
bos	060	1901-1925	54	7815890332
bos	berk	1851-1900	154	5394064364
